msgRcvd		 msgSent		 sender		 avgEnergy		 sumEnergy 		 thresholdPerDomain 
3.00000788		3		RTU1		2.164377		10.821887		25.000000
3.000008552		3		RTU3		1.925927		9.629635		25.000000
3.000009224		3		RTU2		2.406453		12.032265		25.000000
3.000009896		3		RTU4		2.015641		10.078205		25.000000
6.00000788		6		RTU1		2.143447		10.717237		25.000000
6.000008552		6		RTU3		2.060034		10.300171		25.000000
6.000009224		6		RTU2		2.359377		11.796885		25.000000
6.000009896		6		RTU4		1.642604		8.213021		25.000000
9.00000788		9		RTU1		1.667380		8.336902		25.000000
9.000008552		9		RTU3		2.092888		10.464441		25.000000
9.000009224		9		RTU2		1.975018		9.875089		25.000000
9.000009896		9		RTU4		2.319288		11.596438		25.000000
12.00000788		12		RTU1		2.136768		10.683840		25.000000
12.000008552		12		RTU3		2.274105		11.370526		25.000000
12.000009224		12		RTU2		1.974283		9.871413		25.000000
12.000009896		12		RTU4		2.203420		11.017102		25.000000
15.00000788		15		RTU1		1.341966		6.709828		25.000000
15.000008552		15		RTU3		2.302914		11.514571		25.000000
15.000009224		15		RTU2		2.225243		11.126217		25.000000
15.000009896		15		RTU4		2.285380		11.426900		25.000000
18.00000788		18		RTU1		2.205282		11.026409		25.000000
18.000008552		18		RTU3		2.019354		10.096772		25.000000
18.000009224		18		RTU2		1.804628		9.023139		25.000000
18.000009896		18		RTU4		1.856468		9.282341		25.000000
21.00000788		21		RTU1		1.922578		9.612889		25.000000
21.000008552		21		RTU3		2.275170		11.375848		25.000000
21.000009224		21		RTU2		2.067239		10.336197		25.000000
21.000009896		21		RTU4		2.208742		11.043711		25.000000
24.00000788		24		RTU1		2.226650		11.133251		25.000000
24.000008552		24		RTU3		2.371337		11.856686		25.000000
24.000009224		24		RTU2		1.747193		8.735965		25.000000
24.000009896		24		RTU4		2.352138		11.760691		25.000000
27.00000788		27		RTU1		1.918832		9.594158		25.000000
27.000008552		27		RTU3		1.896991		9.484955		25.000000
27.000009224		27		RTU2		1.833112		9.165561		25.000000
27.000009896		27		RTU4		2.120400		10.602002		25.000000
30.00000788		30		RTU1		2.198968		10.994842		25.000000
30.000008552		30		RTU3		1.851338		9.256689		25.000000
30.000009224		30		RTU2		1.865716		9.328580		25.000000
30.000009896		30		RTU4		2.205851		11.029256		25.000000
33.00000788		33		RTU1		2.363622		11.818110		25.000000
33.000008552		33		RTU3		2.397634		11.988169		25.000000
33.000009224		33		RTU2		2.188465		10.942326		25.000000
33.000009896		33		RTU4		2.069153		10.345764		25.000000
36.00000788		36		RTU1		1.858919		9.294596		25.000000
36.000008552		36		RTU3		2.321369		11.606843		25.000000
36.000009224		36		RTU2		1.722709		8.613546		25.000000
36.000009896		36		RTU4		1.783393		8.916967		25.000000
39.00000788		39		RTU1		2.300349		11.501745		25.000000
39.000008552		39		RTU3		2.007788		10.038940		25.000000
39.000009224		39		RTU2		2.162468		10.812340		25.000000
39.000009896		39		RTU4		2.161424		10.807121		25.000000
42.00000788		42		RTU1		2.002087		10.010434		25.000000
42.000008552		42		RTU3		1.817225		9.086127		25.000000
42.000009224		42		RTU2		2.231220		11.156102		25.000000
42.000009896		42		RTU4		2.113681		10.568407		25.000000
45.00000788		45		RTU1		2.681482		13.407408		25.000000
45.000008552		45		RTU3		2.078405		10.392024		25.000000
45.000009224		45		RTU2		1.721492		8.607461		25.000000
45.000009896		45		RTU4		2.300960		11.504798		25.000000
48.00000788		48		RTU1		2.239176		11.195880		25.000000
48.000008552		48		RTU3		2.198316		10.991580		25.000000
48.000009224		48		RTU2		2.016653		10.083265		25.000000
48.000009896		48		RTU4		1.413528		7.067641		25.000000
51.00000788		51		RTU1		1.603895		8.019474		25.000000
51.000008552		51		RTU3		2.042427		10.212134		25.000000
51.000009224		51		RTU2		2.004673		10.023364		25.000000
51.000009896		51		RTU4		1.867548		9.337738		25.000000
54.00000788		54		RTU1		1.811888		9.059438		25.000000
54.000008552		54		RTU3		1.796127		8.980633		25.000000
54.000009224		54		RTU2		1.726692		8.633459		25.000000
54.000009896		54		RTU4		1.970030		9.850149		25.000000
57.00000788		57		RTU1		1.779480		8.897401		25.000000
57.000008552		57		RTU3		1.772158		8.860788		25.000000
57.000009224		57		RTU2		1.653179		8.265896		25.000000
57.000009896		57		RTU4		2.238610		11.193049		25.000000
60.00000788		60		RTU1		6.460830		32.304152		25.000000
60.000008552		60		RTU3		1.887941		9.439704		25.000000
60.000009224		60		RTU2		1.964368		9.821840		25.000000
60.000009896		60		RTU4		1.787015		8.935077		25.000000
63.00000788		63		RTU1		2.017336		10.086681		25.000000
63.000008552		63		RTU3		2.154870		10.774352		25.000000
63.000009224		63		RTU2		1.755604		8.778020		25.000000
63.000009896		63		RTU4		2.123590		10.617952		25.000000
66.00000788		66		RTU1		1.713776		8.568880		25.000000
66.000008552		66		RTU3		2.324849		11.624246		25.000000
66.000009224		66		RTU2		2.121108		10.605541		25.000000
66.000009896		66		RTU4		1.390682		6.953409		25.000000
69.00000788		69		RTU1		1.866714		9.333571		25.000000
69.000008552		69		RTU3		1.437038		7.185189		25.000000
69.000009224		69		RTU2		1.859654		9.298269		25.000000
69.000009896		69		RTU4		2.001399		10.006994		25.000000
